,Category,Message,Emoji,Mathematical symbols,URL,shorthands,Dot,length,capitals,Num_Phone,Special characters,word_count,mis_spell
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,0,0,3,3,111,0,0,0,20,1
1,ham,Ok lar... Joking wif u oni...,0,0,0,3,2,29,0,0,0,6,1
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,0,0,3,0,155,2,1,1,28,1
3,ham,U dun say so early hor... U c already then say...,0,0,0,4,2,49,2,0,0,11,1
4,ham,"Nah I don't think he goes to usf, he lives around here though",0,0,0,1,0,61,1,0,0,13,1
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",0,0,0,6,0,148,0,0,2,32,5
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,0,0,1,0,77,0,0,0,16,1
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,1,0,1,0,160,0,0,0,26,1
8,spam,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,0,0,2,0,158,2,1,3,26,5
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0,0,0,3,0,154,3,1,1,29,1
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,0,0,3,0,109,0,0,0,21,1
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0,2,0,3,0,136,4,0,1,26,1
12,spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0,0,1,3,0,156,7,0,3,26,5
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,0,0,0,0,196,1,0,0,37,1
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,0,0,0,0,35,8,0,2,8,1
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,3,1,4,0,149,1,0,0,19,1
16,ham,Oh k...i'm watching here:),1,0,0,1,1,26,0,0,0,4,1
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,0,0,5,1,81,0,0,0,19,1
18,ham,Fine if thatÂs the way u feel. ThatÂs the way its gota b,0,0,0,4,0,58,0,0,0,13,5
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+",0,4,0,4,0,156,2,0,0,24,5
20,ham,Is that seriously how you spell his name?,0,0,0,0,0,41,0,0,0,8,1
21,ham,Iâm going to try for 2 months ha ha only joking,0,0,0,4,0,49,0,0,0,11,6
22,ham,So Ã¼ pay first lar... Then when is da stock comin...,0,0,0,1,2,53,0,0,0,11,5
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,0,0,5,0,88,1,0,0,20,1
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,0,0,2,0,57,1,0,0,11,1
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,0,0,5,0,144,1,0,0,28,1
26,ham,Lol your always so convincing.,0,0,0,1,0,30,0,0,0,5,1
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,0,0,0,0,134,0,0,0,32,1
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,0,0,3,0,75,0,0,1,15,1
